用户信息
用户昵称：冷知识bot
用户id: 3911558393
微博数: 769
关注数: 7
粉丝数: 971121

原创微博内容: 
微博序号	微博内容	微博位置	发布时间	点赞数	转发数	评论数	发布工具
1	整理了一波未发出的投稿。 	无	2019-04-15 10:14	401	32	89	无
2	两晋南北朝时，许多人名都带"之”，成为一大文化现象。典型的有王羲之，他的儿子王玄之、凝之、徽之、操之、献之、甚至后面几代人都是如此。与谢灵运齐名的颜延之，他的侄子颜腾之，侄孙颜炳之，也是如此。这看起来是很不合规矩的。陈寅恪给过一个解释，“之"字是信奉五斗米道的宗教符号，因为两晋南...全文	无	2019-04-14 23:15	1624	237	369	无
3	世界上绝大多数国家都允许堂、表亲结婚。其中表现最为突出的是瑞典，半同胞兄弟姐妹（同父异母或同母异父）都可以合法结婚。如图，2010年世界表兄弟姐妹结婚情况：深蓝：完全合法淡蓝：有限制的允许橙色：根据宗教和文化习俗允许红色：禁止粉红：禁止但有特例深红：犯罪行为灰色：没有数据美国18个州不禁止表兄妹结婚，包括加利福尼亚，阿拉斯加，纽约，佛罗里达，夏威夷等表兄妹结婚占总人口0.1%，日本表兄妹结婚占总人口0.4%，以色列，大部分阿拉伯国家，巴基斯坦，土耳其，沙特阿拉伯，巴基斯坦，伊拉克表亲结婚率超过30%。	无	2019-04-14 18:55	1801	722	1452	无
4	令人叹为观止的动画细节动画片《猫和老鼠》，一部不到200集，制作却耗费了将近74年的时间。每一集7分钟左右，一集15000帧左右，每一帧都是手绘画出来的，除去前期准备工作，一集的制作时长最少也需两到三个月。其中有一集叫《猫儿协奏曲》（The Cat Concerto），Tom在台上演奏钢琴，小老鼠Jerry在...全文	无	2019-04-14 13:30	13586	7111	1407	无
5	代表LGBT群体的彩虹旗是六色的，emoji[彩虹]也是。 	无	2019-04-14 09:36	12913	5517	1870	无
6	在宋以前，老百姓一般一天只吃两顿饭。到了宋朝，经济繁荣，晚上也没了宵禁，所以才加了一顿晚饭。 	无	2019-04-13 23:43	3986	365	601	无
7	为什么高铁没有E号座位？其实这是为了和国际接轨，国际上通行的（主要是航空）就是A、F座位靠窗口，只要说AF都知道是一个临窗位置，所以直接跳过了E。无论是一等车还是二等车，带字母A和F的座位靠窗，带字母C和D的临过道。一拿到票就可以知道自己的座位是靠窗还是靠走廊。一等座无B、E座，二等座无E座。由于早期的飞机多是单通道的，一般每排有6个坐椅，分别是A、B、C、D、E、F，这样就形成了AF靠窗，CD靠走廊，BE是中间位置的座位格局。久而久之，A—F这六个字母就不是单纯的表示顺序的意思，而是形成了用特定的字母代表靠窗、过道与中间座位的国际惯例。我国高铁也是遵循了这种惯例。高铁一等座采取“2+2”坐椅排列，A、F表示靠窗座位，C、D表示靠走廊座位，由于没有中间的座位，当然就没有代表中间座的字母“B”与“E”，而只剩下ACDF。高铁二等座，采取的是“3+2”的坐椅排列，A、F表示靠窗座位，C、D表示靠走廊座位，B表示三人座位ABC中的中间位置，所以就只有ABCDF 五个字母，而没有字母“E”。	无	2019-04-13 22:20	2479	618	842	无
8	曾经不少人使用过的头像其实是一个粉丝根据周笔畅本人的照片画的，这些图片还被商家制作成了衣服、手机壳、公仔等等。 	无	2019-04-13 18:05	4344	2141	1256	无
9	意大利米兰有家百年发廊，延续传统用火理发，据说这种方式能有效改善发质。  冷知识bot的微博视频 	无	2019-04-13 14:46	1778	200	391	无
10	第五套人民币上的毛主席头像的绘画蓝本出自该张合照，绘画者是当代画家刘文西先生。 	无	2019-04-13 11:03	4195	305	343	无
11	82年乘机老照片：早在1975年开始，乘坐中国民航国际航班的旅客都免费赠送茅台酒1瓶。后来直接改为免费供应，直到20世纪80年代末才取消。旧时中国的空姐招聘条件相当严格。据当时《申报》记载，欧亚航空公司(中央航空公司的前身)1937年首次招聘空姐的条件是：年龄20-25岁之间、体貌端正、身高1.5米一1.7米之间、体重40- 59公斤，能讲国语、粤语、英语，并能读写中英文字。	无	2019-04-13 09:25	2125	180	278	无
